                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.332,                 4.0785,                 1.9063,                 0.0101,                    0.6,                0.54707,                0.31199,                0.11938,                 6.0345,                0.24947,             0.00011432,             0.00011432,             0.00011432
                      2,                 0.2901,                 2.6791,                 1.1526,                0.00923,                    0.6,                0.59689,                0.59689,                0.14939,                 5.1516,                 0.1619,             0.00021888,             0.00021888,             0.00021888
                      3,                0.17233,                 2.1042,                0.98683,                0.01143,                    0.4,                0.39849,                0.39849,                0.20441,                 5.3986,                0.21252,             0.00029798,             0.00029798,             0.00029798
                      4,                0.15545,                 1.8213,                0.99108,                 0.0125,                    0.2,                0.20006,                0.20006,                0.20689,                 4.8061,                0.20453,             0.00035161,             0.00035161,             0.00035161
                      5,                 0.1561,                 1.5753,                0.97653,                  0.883,                    0.4,                0.39881,                0.39881,                0.24899,                 4.2039,                0.24073,             0.00037977,             0.00037977,             0.00037977
                      6,                0.15525,                 1.5923,                0.97814,                0.01143,                    0.4,                0.39849,                0.36862,                0.23336,                 5.3197,                0.22185,             0.00038247,             0.00038247,             0.00038247
                      7,                0.12086,                  1.349,                0.96451,                0.87613,                    0.4,                0.54702,                0.54702,                0.16418,                 5.0001,                0.17336,             0.00035971,             0.00035971,             0.00035971
                      8,                0.12655,                 1.3277,                0.95371,                      1,                0.58139,                0.59693,                0.59693,                0.14561,                 3.4588,                0.15481,             0.00031148,             0.00031148,             0.00031148
                      9,                0.10469,                 1.2098,                0.94951,                      1,                0.57225,                0.59673,                0.57006,                0.19707,                 4.6841,                0.20281,             0.00023779,             0.00023779,             0.00023779
                     10,                0.09877,                 1.1283,                0.95365,                      1,                0.58669,                0.59676,                0.57009,                0.22249,                  4.037,                0.22432,             0.00013863,             0.00013863,             0.00013863
